"chr","startwin","endwin","Nb_SNPs_Win","Prop_Win_Total","NbSNPWinPvalueInf05","NbSNPWinPvalueInf01","NbSNPWinPvalueInf001","SNPswithoutpvalues","PropSNPWinPvalueInf05","PropSNPWinPvalueInf01","PropSNPWinPvalueInf001"
6,15000001,1.6e+07,22,0.0004825937218944,0,0,0,3,0,0,0
6,16000001,1.7e+07,27,0.000592274113234036,0,0,0,1,0,0,0
6,17000001,1.8e+07,23,0.000504529800162327,1,0,0,1,0.0454545454545455,0,0
6,18000001,1.9e+07,65,0.00142584508741527,4,2,0,5,0.0666666666666667,0.0333333333333333,0
6,19000001,2e+07,51,0.00111873999166429,4,2,0,2,0.0816326530612245,0.0408163265306122,0
6,20000001,2.1e+07,36,0.000789698817645381,3,0,0,5,0.0967741935483871,0,0
6,21000001,2.2e+07,25,0.000548401956698182,2,0,0,1,0.0833333333333333,0,0
6,22000001,2.3e+07,44,0.000965187443788799,5,3,0,5,0.128205128205128,0.0769230769230769,0
6,23000001,2.4e+07,60,0.00131616469607564,10,2,1,5,0.181818181818182,0.0363636363636364,0.0181818181818182
6,24000001,2.5e+07,42,0.000921315287252945,5,3,0,2,0.125,0.075,0
6,25000001,2.6e+07,51,0.00111873999166429,4,1,0,9,0.0952380952380952,0.0238095238095238,0
6,26000001,2.7e+07,34,0.000745826661109527,1,0,0,6,0.0357142857142857,0,0
6,27000001,2.8e+07,54,0.00118454822646807,5,1,0,9,0.111111111111111,0.0222222222222222,0
6,28000001,2.9e+07,23,0.000504529800162327,0,0,0,6,0,0,0
6,29000001,3e+07,56,0.00122842038300393,2,1,0,12,0.0454545454545455,0.0227272727272727,0
6,30000001,3.1e+07,40,0.00087744313071709,1,1,0,4,0.0277777777777778,0.0277777777777778,0
6,31000001,3.2e+07,65,0.00142584508741527,6,1,0,8,0.105263157894737,0.0175438596491228,0
6,32000001,3.3e+07,36,0.000789698817645381,2,1,0,6,0.0666666666666667,0.0333333333333333,0
6,33000001,3.4e+07,67,0.00146971724395113,4,1,0,11,0.0714285714285714,0.0178571428571429,0
6,34000001,3.5e+07,108,0.00236909645293614,7,1,0,12,0.0729166666666667,0.0104166666666667,0
6,35000001,3.6e+07,50,0.00109680391339636,5,2,0,4,0.108695652173913,0.0434782608695652,0
6,36000001,3.7e+07,82,0.00179875841797004,2,0,0,5,0.025974025974026,0,0
6,37000001,3.8e+07,57,0.00125035646127185,3,2,1,5,0.0576923076923077,0.0384615384615385,0.0192307692307692
6,38000001,3.9e+07,45,0.000987123522056727,2,1,1,2,0.0465116279069767,0.0232558139534884,0.0232558139534884
6,39000001,4e+07,114,0.00250071292254371,21,9,4,6,0.194444444444444,0.0833333333333333,0.037037037037037
6,40000001,4.1e+07,38,0.000833570974181236,4,2,0,3,0.114285714285714,0.0571428571428571,0
6,41000001,4.2e+07,119,0.00261039331388334,5,0,0,9,0.0454545454545455,0,0
6,42000001,4.3e+07,79,0.00173295018316625,9,4,2,9,0.128571428571429,0.0571428571428571,0.0285714285714286
6,43000001,4.4e+07,80,0.00175488626143418,6,1,0,0,0.075,0.0125,0
6,44000001,4.5e+07,148,0.00324653958365323,7,0,0,8,0.05,0,0
6,45000001,4.6e+07,147,0.00322460350538531,10,2,0,7,0.0714285714285714,0.0142857142857143,0
6,46000001,4.7e+07,115,0.00252264900081163,12,5,2,5,0.109090909090909,0.0454545454545455,0.0181818181818182
6,47000001,4.8e+07,75,0.00164520587009454,2,2,2,4,0.028169014084507,0.028169014084507,0.028169014084507
6,48000001,4.9e+07,152,0.00333428389672494,8,4,0,10,0.0563380281690141,0.028169014084507,0
6,49000001,5e+07,82,0.00179875841797004,4,1,0,5,0.051948051948052,0.012987012987013,0
6,50000001,5.1e+07,170,0.00372913330554763,20,8,2,14,0.128205128205128,0.0512820512820513,0.0128205128205128
