"chr","startwin","endwin","Nb_SNPs_Win","Prop_Win_Total","NbSNPWinPvalueInf05","NbSNPWinPvalueInf01","NbSNPWinPvalueInf001","SNPswithoutpvalues","PropSNPWinPvalueInf05","PropSNPWinPvalueInf01","PropSNPWinPvalueInf001"
0,1,1e+06,213,0.00467238467106851,23,7,1,9,0.112745098039216,0.0343137254901961,0.00490196078431373
0,1000001,2e+06,198,0.0043433434970496,20,5,2,3,0.102564102564103,0.0256410256410256,0.0102564102564103
0,2000001,3e+06,89,0.00195231096584553,14,2,0,5,0.166666666666667,0.0238095238095238,0
0,3000001,4e+06,33,0.0007238905828416,1,1,0,1,0.03125,0.03125,0
0,4000001,5e+06,75,0.00164520587009454,8,3,0,6,0.115942028985507,0.0434782608695652,0
0,5000001,6e+06,28,0.000614210191501963,3,2,0,1,0.111111111111111,0.0740740740740741,0
0,6000001,7e+06,46,0.00100905960032465,7,5,4,1,0.155555555555556,0.111111111111111,0.0888888888888889
0,7000001,8e+06,18,0.000394849408822691,3,1,0,1,0.176470588235294,0.0588235294117647,0
0,8000001,9e+06,40,0.00087744313071709,5,2,0,6,0.147058823529412,0.0588235294117647,0
0,9000001,1e+07,53,0.00116261214820014,6,2,0,6,0.127659574468085,0.0425531914893617,0
0,10000001,1.1e+07,97,0.00212779959198894,9,4,2,5,0.0978260869565217,0.0434782608695652,0.0217391304347826
0,11000001,1.2e+07,98,0.00214973567025687,10,9,2,8,0.111111111111111,0.1,0.0222222222222222
0,12000001,1.3e+07,35,0.000767762739377454,0,0,0,3,0,0,0
0,13000001,1.4e+07,76,0.00166714194836247,11,4,1,4,0.152777777777778,0.0555555555555556,0.0138888888888889
0,14000001,1.5e+07,42,0.000921315287252945,3,3,1,4,0.0789473684210526,0.0789473684210526,0.0263157894736842
0,15000001,1.6e+07,41,0.000899379208985018,5,3,0,4,0.135135135135135,0.0810810810810811,0
0,16000001,1.7e+07,41,0.000899379208985018,6,0,0,6,0.171428571428571,0,0
0,17000001,1.8e+07,55,0.001206484304736,3,0,0,6,0.0612244897959184,0,0
0,18000001,1.9e+07,106,0.00232522429640029,9,2,1,12,0.0957446808510638,0.0212765957446809,0.0106382978723404
0,19000001,2e+07,21,0.000460657643626472,2,2,0,2,0.105263157894737,0.105263157894737,0
0,20000001,2.1e+07,59,0.00129422861780771,4,0,0,6,0.0754716981132075,0,0
0,21000001,2.2e+07,47,0.00103099567859258,3,0,0,1,0.0652173913043478,0,0
0,22000001,2.3e+07,84,0.00184263057450589,6,1,0,14,0.0857142857142857,0.0142857142857143,0
0,23000001,2.4e+07,32,0.000701954504573672,4,1,0,2,0.133333333333333,0.0333333333333333,0
0,24000001,2.5e+07,72,0.00157939763529076,5,1,1,3,0.072463768115942,0.0144927536231884,0.0144927536231884
0,25000001,2.6e+07,47,0.00103099567859258,2,0,0,3,0.0454545454545455,0,0
0,26000001,2.7e+07,49,0.00107486783512844,10,8,0,2,0.212765957446809,0.170212765957447,0
0,27000001,2.8e+07,30,0.000658082348037818,2,1,0,4,0.0769230769230769,0.0384615384615385,0
0,28000001,2.9e+07,60,0.00131616469607564,3,1,0,1,0.0508474576271186,0.0169491525423729,0
0,29000001,3e+07,4,8.7744313071709e-05,2,0,0,0,0.5,0,0
